#nummer &x(km) &y(km) &Ej(kg)
#N15
#problemr50_12t_TwoNodes_1AC99GIInc_400mpi_tsStatic_th2_tbLength40_it50_400npi
-each time are 400 neighbors -valid or invalid - taken
0 175 175 0
1 30 79 10968
2 142 319 364
3 321 255 4250
4 100 4 10153
5 291 343 1344
6 242 190 1293
7 266 285 3156
8 145 101 10312
9 51 163 6873
10 185 200 1838
11 311 183 1069
12 112 146 9054
13 91 28 6074
14 25 309 9080
15 294 153 1788
16 105 68 3733
17 186 105 7299
18 116 277 7024
19 74 124 6079
20 57 308 227
21 181 81 2796
22 177 72 691
23 98 268 7374
24 242 200 9922
25 170 286 7807
26 283 270 5079
27 232 198 4560
28 291 350 9521
29 110 256 7431
30 142 284 8176
31 132 137 1269
32 66 164 6400
33 226 61 8540
34 206 347 5519
35 130 29 4553
36 167 104 9885
37 240 212 6813
38 326 232 7710
39 134 291 8198
40 242 159 1686
41 227 159 9549
42 303 3 9268
43 220 118 10741
44 222 27 3623
45 121 12 6348
46 157 58 530
47 224 349 7357
48 285 187 1648
49 149 336 7555
50 170 163 1436
